Pais;Region;Continent;LifeExpectancy;Population;Surface;AgrLand;Forest;PIBpc;AgrGDP;IndustryGDP;AlcohConsump;BadTeeth;SBPMale;BMImen;BMIFemale;InternetUsers;Mobiles;DependRatio;ChildrenWomen;Births;CO2pc
Botswana;SUB-SAHARAN AFRICA;AF;50,57;1875673;581730;45,60;21,07;12057;1,83;50,55;7,96;0,5;133,03;21,70;25,81;3,26;30,06;62,99;3,02;24,68;2,41
Brazil;LATIN AMERICA AND THE CARIBBEAN;AM;71,55;185986964;8514880;31,27;56,47;8596;5,71;29,27;9,16;2,8;131,89;25,35;25,67;21,02;46,35;50,86;2,07;16,41;1,88
Brunei;EAST ASIA AND THE PACIFIC;AS;77,16;363123;5770;2,09;52,75;47465;0,95;71,56;2,01;4,8;128,46;24,06;22,97;36,47;64,14;47,20;2,18;20,06;14,12
Bulgaria;CENTRAL AND EASTERN EUROPE;EU;72,53;7739115;111000;48,46;32,77;9353;9,07;28,99;12,44;4,4;133,93;26,21;25,37;19,97;80,68;44,72;1,35;9,56;6,19
Burkina Faso;SUB-SAHARAN AFRICA;AF;52,51;14198463;274220;39,88;24,83;1140;34,13;22,65;6,98;0,7;130,63;21,03;21,39;0,47;4,46;91,92;6,04;47,82;0,08
Burundi;SUB-SAHARAN AFRICA;AF;47,84;7251424;27830;89,02;5,92;420;34,85;20,01;9,47;1;133,66;21,39;21,06;0,54;2,11;79,36;5,03;34,58;0,02
Cambodia;EAST ASIA AND THE PACIFIC;AS;60,14;13357574;181040;30,34;59,18;1453;32,40;26,37;4,77;2,3;123,02;20,56;21,38;0,32;7,95;67,17;3,06;24,89;0,28
Cameroon;SUB-SAHARAN AFRICA;AF;49,44;17553589;475440;19,38;45,65;1995;19,53;30,36;7,57;1,5;130,26;23,38;24,49;1,40;12,83;82,63;4,81;37,11;0,21
Canada;NORTH AMERICA AND WESTERN EUROPE;AM;80,36;32283413;9984670;7,43;33,63;35078;1,84;32,36;9,77;2,1;124,81;27,30;26,52;71,60;52,66;44,37;1,53;10,63;17,43
Cape Verde;SUB-SAHARAN AFRICA;AF;72,4;472883;4030;19,11;20,84;2831;9,02;15,69;4,96;2,8;136,87;23,08;24,52;6,07;17,28;78,19;2,90;24,26;0,62
Central African Rep.;SUB-SAHARAN AFRICA;AF;44,4;4017880;622980;8,37;36,53;675;54,44;14,14;3,35;4,1;132,71;20,92;22,01;0,27;2,49;83,17;5,09;35,62;0,06
Chad;SUB-SAHARAN AFRICA;AF;48,09;9785902;1284000;39,10;9,47;1749;12,27;60,44;4,38;;130,72;21,23;21,59;0,40;2,15;95,82;6,40;45,84;0,04
