id;name;nationality;sex;height;weight;sport;gold;silver;bronze
26501082;Aleksandr Popkov;RUS;male;1.85;80;aquatics;0;0;0
442737224;Aleksandr Sadovnikov;RUS;male;1.93;85;aquatics;0;0;0
928101165;Aleksandra Cotti;ITA;female;1.67;65;aquatics;0;1;0
15347644;Aleksandra Crvendakic;SRB;female;1.87;76;basketball;0;0;1
398269007;Aleksandra Jarmolinska;POL;female;1.6;67;shooting;0;0;0
344407164;Aleksandra Krunic;SRB;female;1.63;55;tennis;0;0;0
598990857;Aleksandra Patskevich;RUS;female;1.69;49;aquatics;1;0;0
832551080;Aleksandra Romanova;KAZ;female;1.68;58;athletics;0;0;0
778823226;Aleksandra Socha;POL;female;1.74;66;fencing;0;0;0
146965989;Aleksandra Urbanczyk;POL;female;1.72;64;aquatics;0;0;0
265023366;Aleksandrs Samoilovs;LAT;male;1.96;98;volleyball;0;0;0
282139882;Aleksei Brianskii;RUS;male;1.92;82;aquatics;0;0;0
646633611;Aleksei Kurbatov;RUS;male;;;cycling;0;0;0
200955001;Aleksejs Rumjancevs;LAT;male;1.85;90;canoe;0;0;0
285964258;Aleksejs Saramotins;LAT;male;1.85;75;cycling;0;0;0
169040459;Aleksey Mochalov;UZB;male;1.86;90;canoe;0;0;0
191984367;Aleksi Ojala;FIN;male;1.8;62;athletics;0;0;0
462274321;Alemu Bekele;BRN;male;1.62;59;athletics;0;0;0
571628094;Alen Zasieiev;UKR;male;1.85;125;wrestling;0;0;0
871020123;Alena Abramchuk;BLR;female;1.82;95;athletics;0;0;0
603507285;Alena Amialiusik;BLR;female;1.69;52;cycling;0;0;0
390806588;Alena Furman;BLR;female;1.79;65;rowing;0;0;0
84230211;Alena Sharp;CAN;female;1.68;69;golf;0;0;0
30712954;Alena Sobaleva;BLR;female;1.78;87;athletics;0;0;0
906750380;Alesha Widdall;USA;female;1.73;65;hockey;0;0;0
779596907;Alessandra Aguilar;ESP;female;1.65;50;athletics;0;0;0
236415837;Alessandra Patelli;ITA;female;1.8;70;rowing;0;0;0
820764186;Alessandra Perilli;SMR;female;1.69;73;shooting;0;0;0
630246233;Alessandro De Marchi;ITA;male;1.81;66;cycling;0;0;0
24174970;Alessandro Fabian;ITA;male;1.86;77;triathlon;0;0;0
213338722;Alessandro Nora;ITA;male;1.91;85;aquatics;0;0;1
346410285;Alessandro Velotto;ITA;male;1.86;85;aquatics;0;0;1
5076328;Alessia Gennari;ITA;female;1.84;68;volleyball;0;0;0
559742871;Alessia Maurelli;ITA;female;1.68;48;gymnastics;0;0;0
488353513;Alessia Orro;ITA;female;1.8;74;volleyball;0;0;0
767623428;Alessia Polieri;ITA;female;1.63;55;aquatics;0;0;0
389711690;Alessia Trost;ITA;female;1.88;70;athletics;0;0;0
636505415;Aletta Jorritsma;NED;female;1.86;76;rowing;0;0;0
746309995;Alev Kelter;USA;female;1.68;74;rugby sevens;0;0;0
178787882;Alex Abrines;ESP;male;1.98;93;basketball;0;0;1
527236860;Alex Amankwah;GHA;male;;;athletics;0;0;0
24122998;Alex Beddoes;COK;male;1.81;74;athletics;0;0;0
334218519;Alex Bowen;USA;male;1.96;102;aquatics;0;0;0
962040149;Alex Casasayas;ESP;male;1.83;78;hockey;0;0;0
794799982;Alex Cejka;GER;male;1.68;65;golf;0;0;0
566695148;Alex Garcia;BRA;male;1.92;102;basketball;0;0;0
204746498;Alex Garcia Mendoza;CUB;male;1.86;110;judo;0;0;0
544745828;Alex Gregory;GBR;male;1.98;97;rowing;1;0;0
851889356;Alex Hua Tian;CHN;male;1.9;70;equestrian;0;0;0
212901658;Alex Kennedy;NZL;male;1.96;96;rowing;0;0;0
967635529;Alex Maloney;NZL;female;1.58;56;sailing;0;1;0
723568012;Alex Morgan;USA;female;1.7;59;football;0;0;0
531765497;Alex Obert;USA;male;1.96;105;aquatics;0;0;0
557501936;Alex Ranghieri;ITA;male;2;94;volleyball;0;0;0
240862321;Alex Roelse;USA;male;2.04;115;aquatics;0;0;0
107240268;Alex Rose;SAM;male;;;athletics;0;0;0
58596600;Alex Sobers;BAR;male;1.88;66;aquatics;0;0;0
703205900;Alex William Pombo Silva;BRA;male;1.74;73;judo;0;0;0
636907352;Alex Wright;IRL;male;1.75;62;athletics;0;0;0
893073673;Alex di Giorgio;ITA;male;1.85;75;aquatics;0;0;0
644656107;Alexa Moreno;MEX;female;1.47;45;gymnastics;0;0;0
898510239;Alexander Belonogoff;AUS;male;1.87;90;rowing;0;1;0
583622968;Alexander Brouwer;NED;male;1.98;90;volleyball;0;0;1
771200886;Alexander Bryukhankov;RUS;male;1.84;79;triathlon;0;0;0
